id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
38656067,26500,701.95,25270.2,41.53178814278687,25228.668211857213
38654836,11200,275.29,16517.4,31.64978091323602,16485.750219086767
38645713,8150,302.85,10902.6,31.067698654570577,10871.532301345429
38626372,3000,104.87,3775.32,19.899223098979785,3755.4207769010204
38614969,3825,136.64,4919.039999999999,24.72725109922384,4894.312748900776
38606529,9650,341.61,12297.960000000001,34.206507785050064,12263.753492214952
38605667,7650,278.65,10031.4,30.17596418296052,10001.224035817038
38604389,13975,393.89,23633.399999999998,29.36401439243277,23604.035985607567
38594765,12000,395.37,14233.32,35.9963878720715,14197.323612127928
38585406,5000,177.0,6372.0,21.92169653914077,6350.078303460859
38584817,25000,514.97,18538.920000000002,25.35353094080149,18513.566469059202
38584146,7500,231.55,8335.800000000001,28.29621560305128,8307.50378439695
38565594,23550,823.19,29634.840000000004,38.17610621124862,29596.663893788755
38554987,10000,351.53,12655.079999999998,32.848212564142,12622.231787435856
38554314,30000,1054.57,37964.52,50.264709108337726,37914.25529089166
38545894,6425,225.86,8130.960000000001,26.4934691674089,8104.466530832592
38544952,25000,884.99,31859.64,44.925863847933535,31814.714136152066
38544832,20000,714.45,25720.2,41.82010172268194,25678.37989827732
38544687,16000,393.27,23596.199999999997,33.944483956957505,23562.25551604304
38534746,13100,361.74,21704.4,28.50081743952208,21675.89918256048
38516117,10000,245.8,14748.0,27.041972589634685,14720.958027410365
38506322,20575,687.23,24740.28,38.76564876108167,24701.51435123892
38505266,25000,662.21,39732.600000000006,42.84218545517604,39689.75781454483
38505068,16000,497.63,17914.68,32.05517395038689,17882.624826049614
38486189,18000,415.67,14964.12,36.600425966786986,14927.519574033215
38485707,25000,607.82,36469.200000000004,41.7019679602821,36427.49803203972
38484264,4000,144.33,5195.88,22.31161365429609,5173.568386345704
38525080,15000,373.92,22435.2,33.350163052055,22401.849836947946
38524692,9125,310.37,11173.32,33.05288550437198,11140.267114495628
