status,loan_amount,annual_inc,dti,employment_length,open_accounts,total_accounts,out_prncp,total_payment,recoveries
At Risk,14408.806818181818,8.039844473569387,19.223363636363636,6.047727272727273,3.2000669614590636,23.87727272727273,4.27102734727611,52.27766191210868,0.0
Charged Off,14322.069417157825,8.02433491526713,17.8722527832351,5.952848722986247,3.163801903321811,24.728880157170924,0.0,43.594536531640074,0.0
