id,loan_amount,total_payment
Summary,,Percentage Charged Off: 3.84%
Summary,,"Total Paid Before Charge Off: $66,568.86"
8976324,15000,38.220499802201694
8975241,9750,43.92397407129726
8974875,15000,50.34074866260375
8991657,8975,44.66262565976913
8991552,10000,44.86940746931814
8990747,10000,21.735292768893963
8990677,9000,43.71381219920714
8988627,14000,46.14451621922326
8987269,5700,30.57217599886404
8986805,24000,59.5499919606079
8986278,5000,40.470725850819946
8972176,9750,35.036614530953344
8971807,12000,35.43702580886864
8969195,18000,57.209174929400056
8966439,35000,64.34623575400096
8966278,7800,45.049541716311566
8965049,7500,38.37595459647033
8961859,10000,28.19901066540981
8961811,5000,39.09551466135312
8959425,15000,44.846580896176185
8958437,15000,30.01510698760556
8957195,2400,24.55306744629525
8955972,5000,19.88363623013908
8945772,15000,42.53126308589143
8945258,14400,45.25532930441266
8935714,11200,33.95425563410828
8925939,11100,49.0468826194294
8916105,8450,51.05521340806008
8915763,20000,58.90576019213469
8906032,28000,65.3317245135372
8905982,2500,31.347885047769065
8905972,8800,31.924258953145767
8904834,14250,40.13730632231198
8885016,11200,35.91184555609582
8875460,10000,42.40837498757001
8875309,18000,42.001302944649815
8874832,33000,66.61875035185695
8866566,8000,29.7238772151069
8846124,25000,47.55812911703594
8845904,4800,36.0683180122557
8835440,35000,56.90599327720996
8825489,11875,45.7935072386297
8816353,20000,47.67390524831364
8815892,8000,31.94445908912109
8815633,20000,53.79905032354573
8806185,8725,24.400756062489464
8805674,26500,64.03135271709017
8805025,16800,56.76155742996026
8794913,17050,51.92980219423169
8786138,35000,57.81989040725692
8775017,21000,49.119133974524814
8756133,12000,44.68223245101208
8670260,9025,46.41849658393833
8670209,5000,26.2594161277344
8669279,31300,47.3392877621211
8668654,3050,20.42282049491833
8667407,35000,72.00090966411616
8667268,17625,55.49124434005416
8666807,10000,48.17098643317258
8666690,8300,42.68183205269624
8665927,3250,23.917639917733545
8665321,12000,43.95942860908222
8660060,25000,63.14554844616123
8659341,20000,60.18515322701232
8658926,11200,45.31805560149585
8658836,18550,43.27201179928502
8658509,14000,29.83068918159616
8658483,15850,57.94297511653535
8658155,12000,45.8237534153624
8657386,20500,48.03136372598579
8657224,35000,47.23934017835019
8656278,23850,54.5122517469953
8655252,25000,50.39692879978332
8650201,9600,45.97613598455219
8647709,14000,42.27929411592671
8647535,12000,48.2269966923403
8647504,6000,35.02633138529005
8647412,7000,43.97617899103429
8645905,20000,32.49008407411164
8640060,8000,43.70515360210103
8639901,20000,52.86033809038575
8638786,8000,45.84369065053863
8637428,12375,40.01332061866053
8637368,16200,48.12722814601808
8637075,10000,44.76856782854593
8636969,10000,49.301715159128655
8636762,15000,34.93576471022944
8636661,6000,37.3100897837887
8636220,2000,28.41526768373448
8636000,7200,43.12764580474054
8634737,10000,49.0150084495827
8628750,24000,47.97137689120805
8628565,18250,62.54154583838449
8628102,12000,33.54056141588478
8627515,35000,65.07728112736591
8627202,17050,35.39228992502558
8626992,15000,48.67616142006104
8626923,26300,65.12399893857302
8625646,10000,39.05656576786362
8620165,15000,49.42765137381117
8619718,13150,43.62118412233854
8619582,28100,66.45522956483683
8617375,10000,37.14792462896992
8616956,8875,45.17340612698597
8616886,28000,59.77909527670764
8616388,11875,22.737387010393785
8615837,18000,58.09444834083549
8614998,7750,46.86693173523694
8614925,5475,38.613486798907424
8614746,11200,52.75385509291334
8610636,8000,31.74022886221958
8610614,14500,41.56939023039385
8610558,10000,46.23003048205968
8610467,25000,57.36197473212858
8610327,33000,64.3125983585047
8608962,21000,56.93822767377527
8608465,9125,42.745006700140685
8606822,5500,25.483773331471344
8606721,24000,44.37495649973594
8605986,10300,41.05828211971602
8605612,11000,44.87135962204828
8605190,9250,45.92098549112527
8604721,4000,34.589265855070536
8600056,15000,43.87237633585679
8599996,24450,59.83366838474613
8598394,11000,49.59692735253998
8598280,20000,41.797891060436434
8597972,4000,30.850154482167447
8597282,4000,35.52435958464626
8595814,25000,62.46297979719012
8581235,32000,58.2789677376397
8580715,14000,54.7312509793073
8580596,9000,39.849222222257
8579763,10000,42.726764667664575
8579124,24000,61.58889952338548
8576717,17000,51.17485343283063
8575880,12000,40.695131269207415
8575742,3600,36.55258543108912
8575561,10575,38.79696715105462
8590996,11625,51.32746764944629
8589886,8000,44.83158375386059
8589663,18825,35.32389968115948
8589495,29000,69.07849708200415
8586674,35000,64.3624369524871
8585209,17050,54.01885436643119
8585002,15000,48.99491630285135
8571305,3650,26.32478923558865
8570394,9000,48.40693810253404
8568104,20000,58.09410219944905
8566206,9750,44.404043153648
8565337,9750,49.40705507391044
8561194,8325,50.05000358551125
8560590,7125,37.53094402661238
8559848,28000,65.58042817484902
8558553,4000,34.77788051360723
8557791,8500,26.56418127020669
8557741,8875,31.9917236094604
8557337,15000,56.69809753319227
8545756,10000,27.37736508430802
8545038,15000,52.7791975291618
8544678,20000,50.16487867133845
8534998,14000,47.31734664834882
8514965,28000,71.95768996397167
8514734,16000,53.96255560417483
8494957,25000,57.17630243703668
8474951,7000,42.619697472456856
8434577,17625,39.3021698964025
8414595,8000,40.14749205253514
8396640,11000,53.56164630086314
8395812,11500,51.54200984664575
8395806,14400,49.14815432498619
8394756,21000,49.24153800999493
8386268,8000,40.921165860503386
8384802,12000,46.21924183893535
8366449,32350,70.61961060011848
8365959,9500,46.487674727022025
8365901,6000,35.039041630702506
8364877,14000,44.48559204675573
9228206,24000,34.24871103254887
8356523,23525,58.05882573553683
8356291,18000,54.17837084571364
8356180,14000,52.13733467635476
8355050,8000,46.51019118596093
8354763,10000,47.96049338623848
8354653,10850,36.29402360014852
8334944,15000,47.6564043984425
8334781,20000,62.70406340521432
8305442,15000,58.53312942075906
8304867,32875,50.34914212565037
8295625,35000,57.63745173551688
8286189,11300,48.89643765651371
8285951,35000,72.50632107356286
8285601,9750,46.89620618314392
8276439,18000,50.88780228355896
8274634,10000,44.82781830345522
8265888,29175,55.84293242852096
8265577,10000,48.00923932410937
8265164,15000,53.200702390154895
8264600,9600,33.82388468776157
8264562,25000,54.54975695156517
8225330,19000,28.53364977012173
8214925,9600,50.11370445978161
8184911,20000,58.04443942723741
8158117,22475,43.60462293448833
8158033,9700,34.07792457449193
8156643,20000,58.09321951995185
8156475,7200,45.610619942958174
8155805,8000,36.715585004286616
8155410,8875,42.84646733429856
8154825,10000,41.56789694957503
8146481,27225,65.57314003864202
8146124,3300,33.146527907097905
8145403,20000,51.82735691488391
8144798,24375,59.67826438427981
8138465,3500,31.17336543748593
8137655,6000,30.978894233530124
8136664,25000,56.417305237938514
8136079,18450,56.984035264655816
8127992,5000,24.480277552224205
8127903,25000,38.6860759190619
8127851,18125,40.5108826608748
8127822,22000,62.30723681316815
8127206,7550,44.18917853175347
8126774,7750,46.2013044993214
8126206,6075,33.49607144462185
8125884,12000,43.47832053732501
8117378,20000,24.612645015808027
8117308,4725,33.628319530133965
8116971,14675,45.79429045390831
8116057,6000,25.28927106399349
8116015,5000,33.74624252898523
8114688,7200,44.06161374740101
8096216,16800,52.81667186352294
8095974,18250,60.52306859397285
8095717,18825,52.47453465329428
8095659,10925,50.24087447713438
8095474,11875,48.45850677402576
8095315,3000,32.819186736863614
8095275,26000,69.93962023523646
8095142,10000,46.68149448565165
8095126,10000,46.00855310779252
8065108,15000,42.32187344981183
8054734,20000,35.29966933281058
8054651,12000,39.39905142541955
8054565,20000,54.793875977594126
8044800,6250,41.76725413986872
8024621,12000,33.58757327547664
8015377,12875,41.85494723842807
7964799,26500,63.66216571399647
7956458,28000,62.96255421758109
7955737,13250,55.17107671792624
7955643,15000,51.99171977524643
7954649,29000,58.8758616950348
7945870,16000,47.064892732242335
7945726,21725,54.71782919439552
7936650,13000,55.105349125971614
7935670,20000,56.71618392751027
7927337,11000,31.401159412137748
7927281,20125,53.332923252842704
7926132,33425,65.34329039568723
7925513,22000,64.3493698530198
7925255,13750,49.711878644653545
7924965,5000,23.41303676125037
7924919,7000,19.650662980370104
7916577,17500,59.0995533715934
7914684,20000,61.02194638913972
7905026,5000,35.66498634059759
7874608,23500,67.02552751317546
7864768,6250,24.470852272207186
7731455,33000,72.75531627210361
7731262,8000,42.00718659195974
7731195,28000,63.06165673654636
7731075,10575,43.86277400601529
7730301,13000,36.61251961242496
9236824,10000,25.902936261392927
7728097,19650,53.88433540680117
7728073,6000,42.9957032319911
7727156,5000,38.95698299024711
7726231,5400,31.77224566563996
7725795,24375,32.22412285179581
7725704,24000,58.07800199640472
7725259,3500,35.217219602157336
7721018,6250,28.366958325201026
7721005,5375,29.489755186782627
7720842,5600,30.626431277393763
7720762,10950,51.15719525787716
7715391,20000,50.59408309046092
7715267,35000,43.75962729204309
7715075,2700,32.54758632434967
7711421,9750,47.46332356785104
7710800,2900,30.162835385434363
7710174,10000,41.572580063542965
7708732,17000,39.073843244506165
7708675,7200,35.03399670014299
7708200,18000,46.69903702728291
7707813,5000,32.819186736863614
7707677,8875,43.52447695558579
7707101,24250,48.14122431535242
7706143,12000,54.32913229102709
7705836,7200,44.24822196473572
7705115,23325,57.324265693784575
7701167,10000,48.38077410894505
7701065,12000,51.20783166928938
10085445,19000,61.5830744841945
7698353,35000,69.57471794938206
7696103,30000,46.59974201764027
7695004,7200,29.72977973024428
7694950,16000,41.92413179239445
7688590,4375,34.46553857587244
7688329,6250,39.7936314268193
7688285,28000,61.50052728545279
7687275,28000,62.713470214859534
7685945,3625,28.28069737764134
7684854,12000,36.75235515779208
7684782,30000,64.16212687718458
7684577,17625,40.12383872999048
7681098,6000,37.41379343074183
7680146,15000,54.51727252186979
7679356,8000,43.32254630978016
7678849,35000,70.39270635026574
7678174,8500,42.77493750969144
7677976,1400,27.50493549715624
7677803,13000,54.30894210870301
7677397,17500,40.40145456660776
7676028,15000,41.80259013898354
7675669,3500,35.1312643915511
7669115,1200,22.84241301959309
7668535,17000,56.28926694932085
7665819,9600,49.86404425215963
7665296,18825,57.89587200069879
7659644,20000,55.06924304084554
7659183,15000,51.2471483042192
7658293,19750,54.699297350278776
7656902,30000,56.127135755570805
7656307,15000,37.15543018943425
7654819,24000,36.751792011894665
7650098,17500,41.49704709127055
7647127,15250,43.9025277829066
7644796,15500,46.26543556001421
8609707,12000,41.18875684080108
7638978,5000,32.514563320613114
7638613,4750,39.75840091471375
7638443,7000,37.55499330933999
7638067,9000,46.164452086780855
7638063,17500,39.58213506391888
7637549,19075,57.28855387402385
7637346,20675,52.62666663664895
7636276,21600,58.88468630769432
7635168,7025,39.39112188912905
7629726,18225,56.73594742605864
7629473,16000,49.28639513186611
7628816,20125,42.334378622837264
7628507,30000,38.642225310293895
7627526,30000,70.99945028020002
7627459,12000,48.34136178432231
7626864,35000,63.38871132187016
7625311,4800,39.598138683591216
7625249,21250,55.3604249958032
7625144,8750,40.44042178313457
7624815,13250,46.36079440751218
7619759,6000,41.53882457867044
7619577,15000,39.2129693956085
7618745,8500,45.2728518249804
7618428,18250,55.00686499252656
7617859,9000,47.22561706825613
7616172,17625,62.25034427330525
7615890,25000,44.08245288341413
7604564,6000,36.12912749070624
7595214,10000,34.5280007850235
7594822,4125,37.70071388644187
7594570,21200,49.16101424388373
7584739,24000,51.265234495534514
7574646,20375,55.39860640630662
7565015,5375,37.34751884389929
7564949,5500,41.33125685837829
7564939,8325,46.48916745826683
7535825,27575,62.28243165044623
7535377,18000,60.59302061182196
7534982,8000,39.69898754220635
7524616,20500,62.40549374281251
7524587,17475,58.3939149825412
7515501,20675,54.814816161276106
7515400,16000,30.48959793436315
7515206,13000,38.50395555538313
7505767,35000,70.25088986103675
7505184,16100,45.920540413651686
7504931,3500,35.1270978290777
7504691,12250,52.98172504363507
7504595,9450,48.48984895919193
7496209,28625,63.206321380985365
7456873,1000,23.37788431730386
7456063,4500,26.712594689506272
7455944,16000,52.13078358202574
7449819,5000,40.4644251724132
8845145,30000,62.56285280940575
7449167,26500,44.26385647450744
7449064,18225,38.87740949928007
7447586,8000,45.43983597678165
7447314,18000,47.6808452264628
7446386,22050,55.34708134955724
7446299,35000,69.0626654430249
7445683,4200,29.46909273448268
7441298,16800,48.29992428077238
7439062,11200,53.08161505581893
7438076,3600,29.403788610460325
7436994,26325,60.73316097573122
7436912,17550,62.95109204041707
7436655,5750,41.26810175090532
7436464,15000,54.24921483409894
7436393,22250,45.1599773981746
7425023,5925,39.78356130210466
7389740,18000,58.07852149930856
7388706,10625,29.330396796689776
7387324,14300,50.312194401688586
7386622,25000,36.43023715426409
7386409,5000,40.45321517057036
7386314,10750,44.24873130858513
7383175,9750,42.259630943243295
7382919,20050,44.88638842072273
7381958,3600,36.79799999026103
7381682,17000,51.63925156399298
7381672,22875,63.39523186250821
7097463,5500,38.220299337309854
7381440,7800,40.54461327873273
7379086,24000,66.85634317796136
7378955,20000,53.45155873906908
7377467,33950,45.13476616612914
7376490,3525,29.46428970007923
7375391,5075,30.463351247105493
7374971,16000,38.812374238329554
7371731,14500,48.4968305203469
7371114,11450,42.00522555859792
7368135,5800,37.33299290295675
7367734,6700,37.62766218369711
7367648,9000,45.02649248757688
7365470,31825,59.90318591919078
7355543,10200,43.74917860537164
7355517,8000,39.489150150664535
7355327,12000,40.43654993007088
7345450,22000,67.68296233949624
7345361,15000,45.9425613798191
7342489,6100,42.24934893974089
7342254,19750,63.53963689715954
7341340,6000,35.11554000464663
7341144,11100,50.3690624193932
7340649,10000,44.757589132599406
7339190,15000,51.3666442426379
7339016,23500,61.048901165499885
7338541,17475,56.225275404809686
7338327,35000,64.90970634465596
9795476,8000,43.940629936442015
7337192,19200,45.69086981395994
7335553,28000,56.9617082230763
7335029,25000,51.9766554518088
7334848,6000,40.63940256419211
7334581,26000,42.82156296375991
7325239,20500,49.40801565852429
7314645,15000,53.30267087919375
7306868,4500,25.453938780324
7306474,16000,48.87524102697744
7297069,5000,36.83629001870963
7296983,14825,41.558086154488656
7294652,7775,46.061420349695744
7286854,28000,43.78552834260082
7285932,10000,47.04229634857146
7285549,8800,33.50126876890691
7285412,13000,45.916339569158666
7285298,17475,51.531224006007264
7276410,16100,52.46847251414838
7276350,6000,42.87376820216362
7274725,35000,78.11614079199049
7266387,12000,41.18806555060375
7266151,12000,41.894213170762406
7265268,10000,50.81133988511827
7184594,10000,42.10553594387644
7174575,10625,39.777783506283775
7104379,16000,51.13286996264907
7101360,10000,47.67042159475475
7100764,18000,61.23274236124975
7099941,10400,44.685523058659
7099276,5700,33.699201106713666
7097949,7200,45.07727360230695
7097490,20000,61.83748338768941
7097383,6200,44.13286854276826
7096856,8725,43.82041267821452
7096755,10000,45.89214886451799
7096121,24375,57.80134415478823
7096060,27300,56.54243481311683
7094777,22250,58.443506620197184
7094263,8000,45.78046835640106
7093871,12000,50.31145350010807
7092892,11000,39.97803337686318
7092311,10375,48.89580006471455
7090859,16800,41.21338627291345
7090233,12000,43.0738084349477
7089396,12000,53.84534089427999
7088967,25000,31.30837675832028
7088790,12000,52.80468340320537
7088749,6000,35.50934654955716
7088747,6000,29.33692443637043
7088488,30000,53.755980936445546
7088403,25000,53.296632725265496
7087550,12400,47.67480833429157
7087059,18825,53.838375179842224
7086706,8725,39.617229020973625
7086517,12000,44.753108276752485
7085872,10000,48.071288376354
7084967,25000,47.40350127589693
7084784,7200,37.69927207082191
7083903,19200,35.06011020221157
7083241,25000,38.00990957640872
7081053,10000,43.475962043484216
7080925,18000,56.83006820732668
7080188,27575,65.63910563529585
8666987,8325,37.745191833908336
7079544,9000,29.49901087418078
7078652,10000,28.54918772358279
7078466,21250,50.30881385951976
7078135,26325,40.30165128826489
7077925,20000,65.62878001754726
7077329,21850,60.87291366846313
7074685,8875,46.36914382515533
7074302,14000,28.589128361004825
7073801,30000,60.980841446455386
7072383,7775,31.932707237834084
7071851,5550,37.84238594730616
7071688,9500,38.72420347174181
7071558,12800,52.54736110979484
7070315,20000,55.5159822278246
7069274,7200,43.54861664116352
7068923,11500,34.141083040444386
7066267,9450,42.72268377788328
7065992,15000,34.9907230310052
7065116,21000,61.609393509766846
7063711,10000,36.23331304149264
7062323,11200,52.8776417827435
7061600,12000,46.247424429364
7058324,17450,36.96936948673534
7057921,11500,35.99106181897093
7057840,19950,47.48255441517021
7056102,13250,44.01954327250295
7055164,10000,29.94659600331489
7053799,10800,41.66835335272794
7053646,10625,45.26661169987361
7052519,5750,31.444028971067294
7052078,18000,54.617962796285454
7050034,9600,49.41178558981562
7049595,6250,39.08285991238502
7049042,24575,62.18264738119327
7048735,8000,20.14546342207278
7048718,13000,49.95921788668107
7048174,8875,40.50866769532413
7047576,15000,51.00931559504632
7046639,15075,51.06316955974994
7046542,10200,43.25511985520124
7046514,6600,27.82356752077541
7015179,20000,56.985817061800375
7005797,25450,45.07239411139958
7005503,18000,57.07576780741131
7005192,19075,63.836999009182335
7004640,5000,29.627344523266064
6994749,12000,26.41086932630438
6984619,5000,41.26524371053084
6975657,12000,43.17961909108328
6975083,11100,26.98818960688304
6965056,12000,52.99824000101619
6955641,8325,43.12007563367136
6955545,6625,36.90082096914907
6938566,9600,42.93036680242148
6938327,20000,36.85491020086574
6938145,35000,51.2496914073613
6938090,24000,66.43851357913569
6937759,18250,59.87513818030267
6937368,20000,47.53548203788198
6936318,20000,63.70759753933169
6936059,9950,52.293615016888666
6935833,8000,41.118750288052745
6929567,19400,41.99039557223861
6928841,15000,55.62062884409819
6927798,4750,38.078208425688445
6926717,13000,53.23850918899823
6924950,6250,42.137700076011406
6920055,30000,67.04403931026934
6918580,20000,53.25810435921025
6918266,18000,54.78559282890596
6915411,29100,64.63343132873214
6907813,4000,38.223747043678166
6907673,10000,37.942628145925006
6906649,20500,58.02354038238384
6904594,24575,54.019616516074976
6900041,2650,29.747146193424253
6899899,8000,44.360175286585765
6899797,6300,27.75454852640581
6899300,20000,60.570770868385615
6899158,18000,49.57816572362236
8628747,6000,41.047322643710494
6896499,4000,34.300838311462776
6889412,8325,45.58186843501432
6887020,5375,29.1473563945916
6886924,6000,41.88448713636122
6886511,30000,58.21222187013311
6886361,15000,46.60743878798469
6886255,5000,41.26885923775365
6885939,28000,62.61332893586216
6885700,18000,40.8536866119049
6878379,14000,24.668480010958497
6878199,15000,38.18040553354076
6878068,35000,56.64509792787452
6878028,10000,27.663212200769525
6877685,16000,52.0984131591297
6876770,10000,28.840456176336243
6876380,28000,64.53567481612997
6875794,15600,35.455772503425564
6875655,10000,43.68967012272029
6874760,14550,48.936572266188485
6855371,15000,28.855885369826453
6855016,19075,50.77052097087443
6844985,7500,44.00531005307716
6837802,10800,33.6588287703464
6837490,30000,52.42388829263239
6836807,6950,35.07065891654145
6834930,35000,64.06543394042129
6834906,11325,43.07535754206779
6828801,21000,63.53388219710819
6828689,10500,51.03335483381476
6827192,12000,50.90953835712006
6826917,31000,70.80901836509094
6826873,4000,34.8183989462468
8628697,10625,45.487798615969616
7724943,20000,41.2877874254205
6825419,10000,28.42213567153585
6824775,8325,44.79685340029655
6815821,17000,47.76095945227686
6814845,5000,36.98824272334621
9645074,10000,35.87385735445006
6805440,18000,51.55931502062513
6788344,2700,20.3647626581646
6788337,10000,31.910892631100594
6787354,9900,50.22884407621307
6786810,9000,46.62714170270145
6765386,18000,38.83095556017357
6765197,30000,69.42572332165791
6755098,23850,63.05686734530084
6754617,21725,53.77973035159504
6739645,35000,48.98323913034863
6738805,11200,47.63783112290353
